,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
152,06M366,Washington Heights Academy,K-8,6.0,3,3,3,3,3,3,3,3,9,0,0,3,3,0
153,06M368,Hamilton Heights School,Elementary,6.0,3,3,3,3,3,3,3,12,3,3,0,3,3,0
154,06M423,High School for Excellence and Innovation,High school,6.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
155,06M457,George Washington Yabc,High school,6.0,3,3,3,3,3,3,3,28,85,23,0,3,3,0
156,06M513,Castle Bridge School,Elementary,6.0,3,3,3,3,3,3,3,3,41,0,0,3,3,0
157,06M528,I.S. 528 Bea Fuller Rodgers School,Junior High-Intermediate-Middle,6.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
158,06M552,Gregorio Luperon High School for Science and Mathe,High school,6.0,3,3,3,3,3,3,3,3,7,3,0,3,3,0
159,07X001,P.S. 001 Courtlandt School,Elementary,7.0,3,3,3,3,3,3,3,6,14,3,0,3,3,0
160,07X018,P.S. 018 John Peter Zenger,Elementary,7.0,3,3,3,3,3,3,3,3,17,3,0,3,3,0
161,07X025,P.S. 025 Bilingual School,Elementary,7.0,3,3,3,3,3,3,3,14,25,9,0,3,3,0
162,07X049,P.S. 049 Willis Avenue,Elementary,7.0,3,3,3,3,3,3,3,0,3,0,0,3,3,0
163,07X065,P.S. 065 Mother Hale Academy,Elementary,7.0,3,3,3,3,3,3,3,3,10,8,0,3,3,0
164,07X154,P.S. 154 Jonathan D. Hyatt,Elementary,7.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
165,07X161,P.S. 161 Juan Ponce De Leon School,Elementary,7.0,3,3,3,3,3,3,3,6,3,27,0,3,3,0
166,07X179,P.S. 179,Elementary,7.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
167,07X277,P.S. 277,Elementary,7.0,3,3,3,3,3,3,3,3,3,3,0,3,3,0
168,07X359,Concourse Village Elementary School,Elementary,7.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
169,07X369,Young Leaders Elementary School,Elementary,7.0,3,3,3,3,3,3,3,3,3,9,0,3,3,0
170,07X381,Bronx Haven High School,High school,7.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
171,07X456,Alfred E. Smith Campus YABC,High school,7.0,3,3,3,3,3,3,3,7,0,3,0,3,3,0
172,07X495,University Heights Secondary School,High school,7.0,3,3,3,3,3,3,3,0,0,3,0,3,3,0
173,07X533,Learning through Play Pre-K Center,District Pre-K Center,7.0,3,3,3,3,3,3,3,28,20,14,0,3,3,0
174,07X584,I.S. 584,Junior High-Intermediate-Middle,7.0,3,3,3,3,3,3,3,10,19,17,0,3,3,0
175,08X036,P.S. 036 Unionport,Elementary,8.0,3,3,3,3,3,3,3,17,28,15,0,3,3,0
176,08X048,P.S. 048 Joseph R. Drake,Elementary,8.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
177,08X062,P.S. 062 Inocensio Casanova,Elementary,8.0,3,3,3,3,3,3,3,60,3,20,0,3,3,0
178,08X072,P.S. 072 Dr. William Dorney,Elementary,8.0,3,3,3,3,3,3,3,34,3,3,0,3,3,0
179,08X075,P.S. 75 School of Research and Discovery,Elementary,8.0,3,3,3,3,3,3,3,0,3,0,0,3,3,0
180,08X093,P.S. 093 Albert G. Oliver,Elementary,8.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
181,08X100,P.S. 100 Isaac Clason,Elementary,8.0,3,3,3,3,3,3,3,38,38,11,0,3,3,0
182,08X101,M.S. X101 Edward R. Byrne,Junior High-Intermediate-Middle,8.0,3,3,3,3,3,3,3,16,3,23,0,3,3,0
183,08X107,P.S. 107,Elementary,8.0,3,3,3,3,3,3,3,22,7,7,0,3,3,0
184,08X119,The Dr. Emmett W. Bassett School,Elementary,8.0,3,3,3,3,3,3,3,29,0,3,0,3,3,0
185,08X130,P.S. 130 Abram Stevens Hewitt,Elementary,8.0,3,3,3,3,3,3,3,20,3,12,0,3,3,0
186,08X138,P.S. 138 Samuel Randall,Elementary,8.0,3,3,3,3,3,3,3,29,24,19,0,3,3,0
187,08X140,P.S. X140 The Eagle School,Elementary,8.0,3,3,3,3,3,3,3,3,17,3,0,3,3,0
188,08X146,P.S. 146 Edward Collins,Elementary,8.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
189,08X152,P.S. 152 Evergreen,Elementary,8.0,3,3,3,3,3,3,3,12,0,8,0,3,3,0
190,08X182,P.S. 182,Elementary,8.0,3,3,3,3,3,3,3,3,0,10,0,3,3,0
191,08X301,M.S. 301 Paul L. Dunbar,Junior High-Intermediate-Middle,8.0,3,3,3,3,3,3,3,37,3,11,0,3,3,0
192,08X302,M.S. 302 Luisa Dessus Cruz,Junior High-Intermediate-Middle,8.0,3,3,3,3,3,3,3,6,3,0,0,3,3,0
193,08X304,P.S. 304 Early Childhood School,Elementary,8.0,3,3,3,3,3,3,3,10,0,3,0,3,3,0
194,08X376,Antonia Pantoja Preparatory Academy: A College Boa,Secondary School,8.0,3,3,3,3,3,3,3,3,3,3,0,3,3,0
195,08X392,Bronx Delta School,Elementary,8.0,3,3,3,3,3,3,3,76,3,26,0,3,3,0
196,08X408,Herbert H. Lehman Yabc,High school,8.0,3,3,3,3,3,3,3,9,19,3,0,3,3,0
197,08X432,Bronx Bridges High School,High school,8.0,3,3,3,3,3,3,3,7,0,11,0,3,3,0
198,08X507,Stevenson Yabc,High school,8.0,3,3,3,3,3,3,3,7,0,0,0,3,3,0
199,08X562,Blueprint Middle School,Junior High-Intermediate-Middle,8.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
200,08X583,P.S. 583,Elementary,8.0,3,3,3,3,3,3,3,11,49,3,0,3,3,0
201,09X011,P.S. 011 Highbridge,Elementary,9.0,3,3,3,3,3,3,3,6,8,0,0,3,3,0
202,09X022,J.H.S. 022 Jordan L. Mott,Junior High-Intermediate-Middle,9.0,3,3,3,3,3,3,3,3,3,3,0,3,3,0
203,09X035,P.S. 035 Franz Siegel,Elementary,9.0,3,3,3,3,3,3,3,29,0,6,0,3,3,0
204,09X042,P.S. 042 Claremont,Elementary,9.0,3,3,3,3,3,3,3,3,0,0,0,3,3,0
205,09X053,P.S. 053 Basheer Quisim,Elementary,9.0,3,3,3,3,3,3,3,17,38,10,0,3,3,0
206,09X055,P.S. 055 Benjamin Franklin,Elementary,9.0,3,3,3,3,3,3,3,3,23,3,0,3,3,0
